character gender,characters,type,Character_dialogue
F,THE COUNTESS,1,"Sissy. You are trying to protect those  scuzzy bitches. Well, let your  conscience be your guide, as my mommy  used to say, but it won't work. Those  stinking sluts are going to suffer... Sissy strikes the Countess with her right thumb  with  astonishing force. Immediately the thumb strikes again, this time shattering  the Countess's monocle against his eye."
F,FRANCES,1,"Just put me down as a avg  a vagrant  vagabond. Come on, this is a joke  Assault and battery? I barely touched  that bitch"
F,REPORTER,1,"She's attacking your correspondent  Right here in the Court Building  Good God, this bitch is crazy Someone  stop her Frances pounds at the door a few more times, then moves to  the next booth... into the arms of Harry."
F,STORMIE,1,"You don't scare me, Freddy Thanks to my various phases and many hours of watching violent televison, I have become immune to violence. Seen it all and done it all Nothing you do can gross me out  so why don't you give it your best shot, bitch"
F,ERWIN,1,"Fuck the bitch. Let's roll With tires SQUEALING, burning rubber and smoke, the ambulance roars away into the early morning. "
F,SOPHINA,1,"I don't know...Every time you touch me, I can't help to think about how you was touchin that Bitch. Oscar shakes his head at this, sighs."
F,SOPHINA,1,"No, you fucking got caught, one time. You gonna sit here and tell me that was the first time you kicked it with that Bitch. Never seen her before that huh?"
F,HELEN,1,"She split, our witness split... Can't  we keep our evidence and witnesses  from disappearing around here? I  mean what do I have to do, lock them  in the trunk of my car? What the  fuck is going on? I want that bitch  back here and on the stand or in  jail Richard Stein nods quickly."
F,WOMAN'S VOICE,1,"I will show you, bitch They look over to see the coastguardsman's GIRLFRIEND, late  20s, hefty in a red miniskirt and big hair."
F,REBECCA,1,I can never keep them all straight   was she the superbitch?
F,ENID,1,"No, she was the second wife. The  third one was the superbitch   Maxine. There Look at her"
F,ENID,1,"Fuck you, bitch They walk past a sadlooking ACME SHOES AND REPAIR STORE, in  a distinctive old building, that looks as if it's been there  forever. They stop and peer through the window."
F,ENID,1,"Give me all your money, bitch"
F,REBECCA,1,"Goddammit, bitch  where are you? "
F,BRIGITTE,1,If you just gotta skin thing why does it get worse everytime yer being a bitch? Why's the gyno say you are a monster inside?
F,TRINA,1,"Yer bitch sister's dead, freak."
F,FEMALE STUDENTS,1,Ginger Fitzgerald is such a slut.No kidding.The bitch.
F,BRIGITTE,1,"You bitch Brigitte discovers Ginger sitting in the tub floor under the running shower, weeping. Her eyes are swollen. Ginger is now covered in coarse hair. The water around her is full of blood. There is a kitchen knife next to her. Ginger's stoned numb on the monkshood dose. She's groggy and weak."
F,CONNIE,1,You lousy tramp bitch. She slams the phone down just as CARLO is coming out of the bathroom drying his golden body.
F,LISA,1,"He never liked me as much as her. She was the talented one, Daddy's little girl. That bitch O'Shea holds her beer hand steady. O'SHEA Come on.   Three fingers."
F,SUSIE,1,"Okay, you vindictive bitch. I am going with you to Joshua Tree because my life seems to have been turned upside down and I want to know why. But you don't know me and I won't let you judge me. Do it again and I will smash that pretty little face of yours off the fucking road. Got it? Barbara dismisses her anger with a tight little smile."
F,VICK,1,"We will be in LA by dawn. I told you bitches this would all work out... They drive off into the night, grins all around. "
F,HEATHER CHANDLER,1,If you are going to openly be a bitch....
F,VERONICA,1,If you are going to openly be a bitch.... VERONICA again catches sight of the JAMES DEANESQUE GUY. He wraps his fingers around an egg and unfolds them back. The egg is gone. He smiles. VERONICA smiles back. Her trance is broken by a boisterous HEATHER MCNAMARA and HEATHER DUKE who careen into the two pollsters.
F,VERONICA,1,You goddamn bitch The flickering flames cast HEATHER CHANDLER in a demonic light.
F,VERONICA,1,Now blahblahblah is all I do. I use my grand I.Q. to figure out what gloss to wear and how to hit three keggers before curfew. Some genius. J.D. Heather Chandler is one bitch that deserves to die.
F,VERONICA,1,"Heather, why can't you just be a friend? Why are you such a MegaBitch?"
F,ESTHER,1,"You are not my bitch Mordechai. Please, you have to believe me."
F,JULIA,1,"Oh, you can try it, you little bitch. I had love you to try it. But I am not just the woman I was."
F,KIRSTY,1,"He loved me, you bastard He Loved me, he loved my mother. He even loved that bitch you betrayed him with FRANK begins to move towards KIRSTY again, LARRY dragging behind him."
F,KASE,1,Your Huguenot bitch in Navarre...
F,FAITH,1,"Holy ground, lover. It's a bitch, ain't it? EXT  CEMETERY RIDGE  DAY Two figures dot the faraway ridge as the savage music of their swordplay PEALS out across the barren countryside. MOVING R, we watch these timeless warriors exchange strikes that would drive lesser men into the ground. Each gifted in his own way, neither gaining full advantage over the other... they both gradually succumb to EXHAUSTION. R Connor and Duncan finally lower their swords, panting and spent."
F,CAPT. SPAULDING,1,That's what you bitches need. A  reality check courtesy of my boot in  your ass. That will be a fucking cash  box you can cry to mamma about. 
F,BABY,1,"turning her attention  to Mary I was just wondering, cause you got  a pissy look about you... like a  real pussy licking bitch. Denise tries to QUICKLY defuse the situation."
F,BABY,1,"Come on, ma... this bitch's got it  coming."
F,BABY,1,"You are in Hell, bitch You are gonna  die like a dog Baby disappears into the darkness."
F,SOPHIE MAES,1,You can be my bitch.
F,VALENTINA,1,"a selfish bitch, everyone I love dies...I am..."
F,JEZZIE,1,Look at her face. A real bitch.
F,JANESSA,1,Bitch looks dead to me. The RADIO CRACKLES . . .
F,CHRISSY,1,"Oh, I am a cow, am I?  I am a mad cow,  bitch. And now I am gonna rip your  head off and fuck your spine stump."
F,SISSY,1,"This dopey bitch ordered the large  plain, but I could go for some hot,  thick, Sicilian."
F,SISSY,1,"Because she's gonna be one dead bitch. Hi, Jussy. We catch you at a bad  time?"
F,CHASTITY,1,Of what? That rich bitch?
F,GOTH GIRL,1,Have a date with Jennifer Check. Colin's parents stare at the ground. GOTH GIRL  Oh God. Oh God. I knew it That BITCH I will erase her I will put a freaky Druid spell on her GOTH GIRL  I will spell her preppy ass right into the ground The parents flinch.
F,NEEDY,1,"Saint Jude, patron saint of hopeless causes Please give me the power to crush this bitch. Jennifer looks up with demonic, bloodshot eyes just as Needy leaps off the diving board. Needy lands on Jennifer's shoulders, taking her out. She wraps her legs around Jennifer's neck and drags her under the water. Jennifer emerges. Needy grabs her by the hair and girly slaps her furiously across the face. Then she spots the PEPPER SPRAY lying by the side of the pool. She grabs it and sprays it in Jennifer's eyes. Jennifer shrieks and vomits NASTY, SPINY GORE all over Needy and Chip."
F,JIMMY'S MOM,1,I don't feel like waiting. Hurry up bitch. What do you have left to do?
F,ILSA,1,Bitch 
F,JUNO,1,"Yeesh, they sound like a cult.  Besides, they are greedy bitches.  They already have three kids"
F,THE BRIDE,1,"Bitch, you can stop right there. The Bword stops Vernita short, almost like a coldhanded slap in the face it should affect the audience that way as well."
F,VERNITA,1,"How bout tonight, bitch?"
F,VERNITA,1,"Fuck you, bitch, I know he didn't qualify it, so you can just kiss my motherfuckin ass, Black Mamba. Black Mamba, I shoulda been motherfuckin Black Mamba. As the two females continue to talk, Vernita reaches her hand inside the cereal box."
F,ELLE,1,"Don't fuckin ssshhh me If you think I came all the way down to Texas  in a dog and cat rainstorm no less  just to tuck sleeping beauty in bed  you got another fuckin thing comin  You don't owe her Shit You don't owe her shit. Man, fuck that bitch Oh you are not are you? Well Bill, you never leave a job half done. A great teacher taught me that once, he looked a whole lot like you. Elle pauses as Bill on the other line has his say. We don't hear his side, we stay with Elle as he talks. We can tell by her face, he's making some sense. After awhile she answers back"
F,ELLE,1,"If you ever take your ass out of this Goddamn bed for as long as you fuckin live, I will beat you into the ground, bitch "
F,THE BRIDE,1,"This has nothing to do with You and I, and everything to do with me taking satisfaction from that bitch behind you. And there's absolutely positively no way I'M going to leave here without taking that satisfaction. So Mr. Barrel, you have to stand aside. And that means you must quit, right now."
F,SOFIE,1,"Skilled won't be the word. THE BRIDE  Don't be coy with me, bitch. What would be the word?"
F,NURSE OWENS,1,"Then bitch, you better call yourself a ambulance, cause I don't do this shit no more."
F,ELLE,1,"Now in these last agonizing minutes of life you have left, let me answer the question you asked earlier, more thoroughly. When it comes to that bitch, I gotta lotta R's in me. Revenge is one. Retribution is another. Rivalry is definitely one. But I got another R for that bitch you might be surprised to find out. Respect. But right at this moment, the biggest R I feel, is Regret. Regret that maybe the greatest warrior I have ever met, met her end at the hands of a bushwhackin, scrub, alacky piece of shit like you. The woman deserved better. Budd, dying, watches from the floor as Elle takes out her cell phone and presses one button. The other party comes on the line, but we never hear their side."
F,ELLE,1,"Bring it on, bitch. The viper known as death incarnate, LEAPS at Elle. Elle flicks her wrist slightly. She doesn't even swing the blade. She just holds it. The snake's head touches it, and is immediately SEPARATED from its body. ELLE'S EYES look down at the Japanese steel in her hand."
F,ELLE,1,"I don't rattle, bitch The Bride brings her sword back into combat position."
F,KAREN,1,"So you came here to kill Lisa Wong, huh? Well that's my sister, bitch. I am Karen Wong, and I have come here to kill you. She raises the shotgun, and takes aim at The Bride..."
F,TRINA,1,"Well she's not now. I did everything for Arlyn. I loved Arlyn I took her right into my apartment, my own sweet apartment on First. But she wouldn't stay off it  the junk  and I wept and I pleaded and I held her in my arms  and she started taking things, my things, and selling them for horse. My clothes. We could have had everything together, everything  and then the bitch sold my mink "
F,DEBBIE,1,Am I hotter than these little bitches?
F,MELISSA,1,"Oh, please, you think professional women mentor one another? You think there's some mutually supportive empathetic touchfeely network of kindly pie bakers? Those bitches hate each other Quick, who was the worst boss you ever had? A woman, right? We can't delegate, we can't command I mean, there's a reason we are not generals The men gasp, shocked and titillated. The women are furious. Melissa smiles to herself she's trying not to crack up."
F,CAITLIN,1,"Don't you die, you get up now,  Goddammit... Life is pain, you just  get used to it, and stand up right  this minute, Mommy. Life is pain,  do it, you bitch. Do it. Tears coursing in rivulets. Little fists clenched. Then   It might be a trick of the wind. Tiny aspiration, not enough  breath to fog a mirror..."
F,SHEILA,1,What's the BITCH'S name?
F,SIDRA,1,"Still a cocky bitch. Monica laughs.  She downs her drink, motions to the waiter."
F,RACHEL,1,You wanted to see the Bitch?
F,WOMAN,1,"Stay out of it, bitch. The woman turns back around. She lifts the girl into her arms and they trudge over the incline and out of sight."
F,NATASHA,1,"My sister. Sort of a bitch. As Max nods at the understatement, Trevor rushes over, forcing a broad smile to reassure his guests. He pulls Max's coat closed over the badge and ushers him towards the door."
F,VINNIE,1,"What got my attention, Mona, was that the boxes were delivered by a cop car. A guy in uniform hands them to me in broad daylight. I am not scared of tattoos, or freaks, or mouthy Russian bitches. But whoever's watching over Lupino, whoever it is you really need to bless you walking inside Ragna Rok...him, I am scared of. "
F,DIANE,1,"If you are trying to get me to call you a spoiled little ungrateful bitch, you are out of luck, because I won't give you the satisfaction."
F,DIANE,1,"Why, you sneaky little bitch Suddenly, Diane LUNGES for Jeanette, grabbing her by the hair and pulling her off the table. Jeannette shrieks as Anton struggles to pull up his pants and pry them apart. "
F,DIANE,1,"My god, let me tell you, breaking my hand on that bitch's face... The two women recoil."
F,EMMA,1,"Bitch Cordelia slaps Emma across the face. Alice and Meg gasp and they all stand a beat in shock. Monte Carlo Draft 3  November 4, 2007 111. Emma raises a hand to cup her cheek as Alice and Meg turn slowly to Cordelia, their faces set like warrior masks. "
F,CHRISSY,1,"It's that bitch Barbara looks at her, shocked. "
F,MUMFORD,1,Okay then... Are you positive your  mother's a bitch? Just kidding.
F,ISABEL,1,A she thinks the violin's a waste  of time... and B  she's a bitch. Roberta laughs.
F,KIMMY,1,"In here, you bitch Now everybody's really interested.  Julianne ignores them, strides to the stall.  KNOCKS, like it's a door.  No answer."
F,JULIANNE,1,"With your dad, yeah.  Can you guess why?  Bitch? Everything inside Kimmy BURSTS free in a torrent of tears..."
F,CASANOVA,1,That bitch 
F,LARA,1,Because she's a bitch  Not because she's a woman.
F,WISDOM,1,"Whoa, you are one tough bitch."
F,FAULT,1,JOY Bitch.
F,ELLEN,1,What's that bitch up to now? We hear the BEEP TONE of an answering machine.
F,BETH,1,"You can look all you want but you are not getting out of here. ot until I have given you the beating of your life... bitch. And she means it, too. Lisa tries to dart around her. But Beth cuts her off, grabbing Lisa by the throat and forcing her back, slamming her hard against the bed post. L isa bounces off the post, stunned. Beth is on her, slapping her hard, grabbing a handful of Lisa's hair, ripping it out by the roots as Lisa tries to get free. Lisa lets out a subhuman shriek of pain. Beth tosses the hank of hair aside, keeps on coming.    She's beyond pissed."
F,BETH,1,"Too late, bitch.   Sorry won't cut it. Beth kicks Lisa out of the bathroom. I Lisa lands on the floor and gets up, rose petals sticking to her gown. As Beth comes out of the bathroom, Lisa lunges for the night table and grabs the bottle of champagne. She swings it and hits Beth is the side of the head. Whack The cork pops and champagne goes spewing everywhere. Stunned, Beth goes down on her knees. Lisa wipes blood from her face, circling Beth, lips drawn back and teeth showing like an animal."
F,KATE,1,"What did you do? Heads'turi. Doris and Max are taken aback. Kate looks insane. She strides.toward Esther, gaining momentum with every step, but Esther just looks up at her with a halfhidden smile on her fa ce. RATE, What didyou do to him, you bitch?. Them ,he slaps sE ther As ha as she. cmn h t e face, sending her reeling to it fioot  Everyone ishorrified."
F,ESTHER,1,"Please don't hurt me, Mommy. rat fucking chance, bitch. Kate SHOOTS her again. This one goes right between those pretty eyes. Esther falls to the floor, dead gaze staring at the ceiling, a pool of blood .expanding around her pretty Shirley Tem ple curls. Kate drops the gun and crawls over to Max, scooping her into her arms and hiding her face from the horrible sights all around them For a long moment, mother anddaghte r o justholdaeacheother close. Kate strokes Max's hair, cry ng u What Kate can't seeis the'slack, traumatized expression on Max's bloodied face. .vacant and emotionless. That spark you should see in the. eyes of achild, gone forever. CAMERA PULLS BACK and we FADE  OUT ."
F,EVELYN,1,"I am sorry.  I have got a letter to write. NAVY GUY 3 Cold bitch. His friends start to pull him away, but Evelyn's eyes flare."
F,PEGGY,1,That loudmouthed little bitch
F,ROSIE,1,"Copy you.  Surgery is canceled. I am lettin' the bitch go. Bodhi looks out the doorway.  Gauging distance, airspeed, the geography below.  He looks at Utah, aiming the Casull at him. Johnny stares back at him like a pit viper."
F,PRECIOUS,1,What this bitch want? Claireece ... Only motherfuckers I hate call me Claireece. Precious gathers her belongings. The other children watch every move in silence. When she reaches the front of the class ...
F,MRS. LICHENSTEIN,1,"Your attitude is one of total uncooperation and that won't help a thing... PRECIOUS                      MRS. LICHENSTEIN Now I heard everything. Nosy        I am not the enemy here. If ass white bitch mad 'cause          h there's something going on at she can't come over my house.        ome that you would like to I don't be coming to this           talk about, you should feel bitch's house in Weschesser.        free to do so here. If you I will be damned. I done heard        find that the added stress of everything. White bitch wanna       caring for your child is visit. Then I thought about         affecting your concentration, Mr. Wicher all alone up             that would be helpful to against the fools in his maff       know. class ..."
F,MARY,1,Eightysix that bitch. Precious looks unsure. 16   
F,PRECIOUS,1,"This bitch crazy. 'Sides, my muver don't want to get cut off welfare and that's what Mrs. Lichenstein comin' to visit result in. It's hard to believe a hoe dis retarded sposed to educate somebody. 17   "
F,PRECIOUS,1,"Bitch. Precious presses LISTEN. MRS. LICHENSTEIN  The phone number is 5550831. I told them about you. Call or drop in, nineteenth floor."
F,SHEILA,1,"Nigga, I knew that was you. And who you running after, some fat bitch. Get your ass over here. Precious turns the corner of 126th street and onto Clayton Powell Jr. Boulevard still devouring chicken. A SKINNY DISHEVELED MAN sitting on a standpipe calls out to her."
F,MARY,1,Do what I say don't say what I say. Now eat bitch Precious starts eating slowly. Mary lights her cigarette.
F,PRECIOUS,1,Seem like inquiring white bitches always want to know.
F,MARY,1,Bitch CRASH A flying vase barely misses Precious and Abdul and then shatters against the wall. Abdul WAILS.
F,PRECIOUS,1,I DON'T KNOW HOW YOU DIDN'T ALREADY. YOU CRAZY BITCH 63A. 86   
F,PRECIOUS,1,You don't know me bitch. Get lost fore I kick your ass. The nurse finally starts away.
F,PRECIOUS,1,Bitch? The nurse turns around.
F,PRECIOUS,1,She say she not put that in my file Bitch
F,JERMAINE,1,"That's the bitch's job, to get the mofuckin' goods on you The client seems to view the social services, AFDC, as taking care of her forever.' Jermaine sets the file down and looks up at Precious."
F,JO ANN,1,Rhonda home attend. Say old bitch would ring a bell when she want Rhonda in the night
F,JO ANN,1,Rhonda say old bitch would ring a bell  a actual bell when she want Rhonda in the night
F,VIVIAN,1,"Well, you know those cold bitches that work in those stores and try to intimidate you?  It works."
F,MARGARET,1,I am about 15 seconds from bitch.
F,MARGARET,1,"to all these bitches crawl... Margaret's eyes are closed, she doesn't realize that she's broken out into a Lil John song.   She continues to dance."
F,GERTRUDE,1,You are gonna have to put that in check if you move back.   Cause me and Beth Cable are the only two real options up here... and I will kick that bitch's ass. Richard gives her a polite smile.   He's not really in the mood to joke.   Gertrude notices.
F,WOMAN IN RED,1,You crazy bitch Both girls take off.
F,TRACY,1,"Not funny, Rebecca. Bitch. She grips the curtain. She steels herself. She yanks the curtain open to see... Just running water. Tracy shakes her head. She looks around  no one. She slips her towel off and slips back under the water. Screw Rebecca  she's going to finish this shower."
F,REBECCA,1,Lay still bitch.
F,AMY,1,"You bitch. You stupid cunt. Stacy spins on her, VENOMOUS"
F,LOUISE,1,"And in fact what really bothers you is not that we fucked, but that he told me about you. How you think you are so... How you have become such a bitch. That's why you are firing me. That's what you should write in your report."
F,NIKKI,1,"It is if I want it to be. He is if I want him to be. That bitch ain't got shit on me. The girls regard her in conspicuous, dubious silence. Nikki maintains her cool but inside her pride is pricking. 81   "
F,NIKKI,1,Love shit. That bitch is tap dancin' on my last nerve. 140                                                         140
F,NIKKI,1,"a hiss, under her breath It ain't over, bitch."
F,SARA,1,Over? I don't even know why it started... bitch. And don't say it's about Patrick because it's not. It's not about him.
F,SARA,1,"I gotta get home. Ready? Malakai's eyes slice into her. First Snookie, now this bitch. Steppin' all over his conversation with Patrick."
F,SARA,1,"Toni, listen carefully. You are a simple bitch and you don't have any friends, black or white, because nobody likes a fucking asshole. She storms off leaving Toni, for once, speechless. 162   "
F,ROXY,1,You unbelievable bitch. RAMONA pulls a LARGE HAMMER from her purse.
F,RAMONA,1,"I had rather be dead than go back. He's a creep, you are a bitch and you all deserve each other."
F,HALLIE,1,No way. ALIENS rocked. Stay away from her  you bitch.
F,SIDNEY,1,"You BITCH Sidney storms off, disappearing in the crowd. Cotton turns to Gale. His face pained."
F,HALLIE,1,"You bitch. They crack up. Someone passes her a towel. She stands wiping her face, looking across the room as Derek enters through the front door. She waves at, him. He hurries over."
F,JENNIFER,1,"Bitch. The two turn the corner, stepping into  "
F,SAMANTHA,1,Bitch.
F,MOLLY,1,"Yeah, that has to be a real bitch. Oh, I shouldn't be laughing. You poor thing. Molly brushes his hair back with her hand. Kirk is frozen with fear. Molly leans in. Kirk also leans in but not too far. Molly smiles, realizing that it's up to her to make this official. She takes him by the collar, reels him in and kisses him. They make out for a moment. Kirk is near panic but he does his best to keep it together."
F,MARNIE,1,Good. I was really worried about you with her. She seems like kind of a bitch.
F,WAVEY,1,He ran off to Seattle with some bitch. When his damaged son was two months old. And nobody knew. An icecold wink.
F,MERRILL,1,We are gonna beat your ass bitch 
F,CATHERINE,1,"NOOOOO You fucking bitch don't you  LEAVE ME down here, DON'T YOU  YOU "
F,JANE,1,"I heard him say, Die bitch. A  MAX SAYER, distraught and weeping."
F,KATRINA,1,"Ichabod Lady Van Tassel rolls, recovering, not very concerned. LADY VAN TASSEL  Little bitch. "
F,KATE,1,"He just got back from England  because he went there for a girl A preppy, bitchy girl. Diane Court...that was her name. He loved her so much that he went with her because she had a fellowship or something. He gave up being a kickboxer. A kickboxer                                And she dumped him. The bartender sizes up Owen. The trio waits with anticipation to hear her response, which is "
F,FREDA,1,My bitch sister just took off and left me here so she could hook up with some asshole. Now what am I supposed to do? Huh? I don't have a car here.
